run,name,shape,num_params
PR2_top50_fold_balanced_remove_dup_weight,conv1.weight,"(64, 3, 7, 7)",9408
PR2_top50_fold_balanced_remove_dup_weight,bn1.weight,"(64,)",64
PR2_top50_fold_balanced_remove_dup_weight,bn1.bias,"(64,)",64
PR2_top50_fold_balanced_remove_dup_weight,layer1.0.conv1.weight,"(64, 64, 3, 3)",36864
PR2_top50_fold_balanced_remove_dup_weight,layer1.0.bn1.weight,"(64,)",64
PR2_top50_fold_balanced_remove_dup_weight,layer1.0.bn1.bias,"(64,)",64
PR2_top50_fold_balanced_remove_dup_weight,layer1.0.conv2.weight,"(64, 64, 3, 3)",36864
PR2_top50_fold_balanced_remove_dup_weight,layer1.0.bn2.weight,"(64,)",64
PR2_top50_fold_balanced_remove_dup_weight,layer1.0.bn2.bias,"(64,)",64
PR2_top50_fold_balanced_remove_dup_weight,layer1.1.conv1.weight,"(64, 64, 3, 3)",36864
PR2_top50_fold_balanced_remove_dup_weight,layer1.1.bn1.weight,"(64,)",64
PR2_top50_fold_balanced_remove_dup_weight,layer1.1.bn1.bias,"(64,)",64
PR2_top50_fold_balanced_remove_dup_weight,layer1.1.conv2.weight,"(64, 64, 3, 3)",36864
PR2_top50_fold_balanced_remove_dup_weight,layer1.1.bn2.weight,"(64,)",64
PR2_top50_fold_balanced_remove_dup_weight,layer1.1.bn2.bias,"(64,)",64
PR2_top50_fold_balanced_remove_dup_weight,layer2.0.conv1.weight,"(128, 64, 3, 3)",73728
PR2_top50_fold_balanced_remove_dup_weight,layer2.0.bn1.weight,"(128,)",128
PR2_top50_fold_balanced_remove_dup_weight,layer2.0.bn1.bias,"(128,)",128
PR2_top50_fold_balanced_remove_dup_weight,layer2.0.conv2.weight,"(128, 128, 3, 3)",147456
PR2_top50_fold_balanced_remove_dup_weight,layer2.0.bn2.weight,"(128,)",128
PR2_top50_fold_balanced_remove_dup_weight,layer2.0.bn2.bias,"(128,)",128
PR2_top50_fold_balanced_remove_dup_weight,layer2.0.downsample.0.weight,"(128, 64, 1, 1)",8192
PR2_top50_fold_balanced_remove_dup_weight,layer2.0.downsample.1.weight,"(128,)",128
PR2_top50_fold_balanced_remove_dup_weight,layer2.0.downsample.1.bias,"(128,)",128
PR2_top50_fold_balanced_remove_dup_weight,layer2.1.conv1.weight,"(128, 128, 3, 3)",147456
PR2_top50_fold_balanced_remove_dup_weight,layer2.1.bn1.weight,"(128,)",128
PR2_top50_fold_balanced_remove_dup_weight,layer2.1.bn1.bias,"(128,)",128
PR2_top50_fold_balanced_remove_dup_weight,layer2.1.conv2.weight,"(128, 128, 3, 3)",147456
PR2_top50_fold_balanced_remove_dup_weight,layer2.1.bn2.weight,"(128,)",128
PR2_top50_fold_balanced_remove_dup_weight,layer2.1.bn2.bias,"(128,)",128
PR2_top50_fold_balanced_remove_dup_weight,layer3.0.conv1.weight,"(256, 128, 3, 3)",294912
PR2_top50_fold_balanced_remove_dup_weight,layer3.0.bn1.weight,"(256,)",256
PR2_top50_fold_balanced_remove_dup_weight,layer3.0.bn1.bias,"(256,)",256
PR2_top50_fold_balanced_remove_dup_weight,layer3.0.conv2.weight,"(256, 256, 3, 3)",589824
PR2_top50_fold_balanced_remove_dup_weight,layer3.0.bn2.weight,"(256,)",256
PR2_top50_fold_balanced_remove_dup_weight,layer3.0.bn2.bias,"(256,)",256
PR2_top50_fold_balanced_remove_dup_weight,layer3.0.downsample.0.weight,"(256, 128, 1, 1)",32768
PR2_top50_fold_balanced_remove_dup_weight,layer3.0.downsample.1.weight,"(256,)",256
PR2_top50_fold_balanced_remove_dup_weight,layer3.0.downsample.1.bias,"(256,)",256
PR2_top50_fold_balanced_remove_dup_weight,layer3.1.conv1.weight,"(256, 256, 3, 3)",589824
PR2_top50_fold_balanced_remove_dup_weight,layer3.1.bn1.weight,"(256,)",256
PR2_top50_fold_balanced_remove_dup_weight,layer3.1.bn1.bias,"(256,)",256
PR2_top50_fold_balanced_remove_dup_weight,layer3.1.conv2.weight,"(256, 256, 3, 3)",589824
PR2_top50_fold_balanced_remove_dup_weight,layer3.1.bn2.weight,"(256,)",256
PR2_top50_fold_balanced_remove_dup_weight,layer3.1.bn2.bias,"(256,)",256
PR2_top50_fold_balanced_remove_dup_weight,layer4.0.conv1.weight,"(512, 256, 3, 3)",1179648
PR2_top50_fold_balanced_remove_dup_weight,layer4.0.bn1.weight,"(512,)",512
PR2_top50_fold_balanced_remove_dup_weight,layer4.0.bn1.bias,"(512,)",512
PR2_top50_fold_balanced_remove_dup_weight,layer4.0.conv2.weight,"(512, 512, 3, 3)",2359296
PR2_top50_fold_balanced_remove_dup_weight,layer4.0.bn2.weight,"(512,)",512
PR2_top50_fold_balanced_remove_dup_weight,layer4.0.bn2.bias,"(512,)",512
PR2_top50_fold_balanced_remove_dup_weight,layer4.0.downsample.0.weight,"(512, 256, 1, 1)",131072
PR2_top50_fold_balanced_remove_dup_weight,layer4.0.downsample.1.weight,"(512,)",512
PR2_top50_fold_balanced_remove_dup_weight,layer4.0.downsample.1.bias,"(512,)",512
PR2_top50_fold_balanced_remove_dup_weight,layer4.1.conv1.weight,"(512, 512, 3, 3)",2359296
PR2_top50_fold_balanced_remove_dup_weight,layer4.1.bn1.weight,"(512,)",512
PR2_top50_fold_balanced_remove_dup_weight,layer4.1.bn1.bias,"(512,)",512
PR2_top50_fold_balanced_remove_dup_weight,layer4.1.conv2.weight,"(512, 512, 3, 3)",2359296
PR2_top50_fold_balanced_remove_dup_weight,layer4.1.bn2.weight,"(512,)",512
PR2_top50_fold_balanced_remove_dup_weight,layer4.1.bn2.bias,"(512,)",512
PR2_top50_fold_balanced_remove_dup_weight,fc.weight,"(2, 512)",1024
