id,path,label,baseline_split,fold,oof_dusty_prob,oof_pred,mislabel_score_oof,dup_score,mislabel_score_v2_add,mislabel_rank_oof_global,rank_in_fold,is_candidate_top50,is_candidate_top100,active_candidate_set,sample_weight
train_01233,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01233.jpg,1,train,4,0.16049815714359283,0,0.8395018428564072,0.0,0.0010283137399642,223,34,False,False,False,1.0
train_00878,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00878.jpg,1,train,2,0.5479042530059814,1,0.45209574699401855,1.0,0.0425654658018119,426,74,False,False,False,0.5
train_00473,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00473.jpg,0,train,1,0.019734716042876244,0,0.019734716042876244,0.5625,1.248166892085546e-05,941,180,False,False,False,0.71875
train_01127,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01127.jpg,1,train,2,0.9997091889381409,1,0.00029081106185913086,0.0,0.000105537630021,1268,240,False,False,False,1.0
train_00315,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00315.jpg,0,train,1,0.3588379919528961,0,0.3588379919528961,0.0,0.0402973370710151,477,102,False,False,False,1.0
train_01179,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01179.jpg,0,train,2,0.06851564347743988,0,0.06851564347743988,0.0,0.0003515757648808,781,132,False,False,False,1.0
train_01294,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01294.jpg,0,train,0,0.012465709820389748,0,0.012465709820389748,0.0,5.214983656826704e-07,1000,162,False,False,False,1.0
train_00088,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00088.jpg,0,train,3,0.2991494834423065,0,0.2991494834423065,0.0,3.220922258353067e-07,536,121,False,False,False,1.0
train_01258,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01258.jpg,0,train,2,0.011295925825834274,0,0.011295925825834274,0.0,0.0001652540958445,1012,178,False,False,False,1.0
train_00373,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00373.jpg,1,train,0,0.021893132477998734,0,0.9781068675220013,0.0,0.0011930990723164,96,33,False,False,False,1.0
train_00529,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00529.jpg,0,train,3,0.046752557158470154,0,0.046752557158470154,0.0,1.841447686078428e-08,831,216,False,False,False,1.0
