run,epoch,train_rows,use_dup_weight,train_loss,train_acc,train_auc,train_sum_sample_weight,train_mean_sample_weight,elapsed_sec,val_all_n,val_all_loss,val_all_acc,val_all_auc,val_without_top100_n,val_without_top100_loss,val_without_top100_acc,val_without_top100_auc,val_top100_only_n,val_top100_only_loss,val_top100_only_acc,val_top100_only_auc
R1_remove_oof_top100,1,1008,False,0.5589728298641387,0.7271825396825397,0.781285334220153,1008.0,1.0,7.407769441604614,274,0.5821303539250019,0.7445255474452555,0.7854971535953131,258,0.4864192444455716,0.7868217054263565,0.8393670886075949,16,2.125471830368042,0.0625,0.018181818181818177
R1_remove_oof_top100,2,1008,False,0.2149990200996399,0.9275793650793651,0.9751787495843034,1008.0,1.0,6.6450324058532715,274,0.7089212491129436,0.7408759124087592,0.7905267230420604,258,0.5512272657812104,0.7829457364341085,0.8462658227848101,16,3.251736879348755,0.0625,0.07272727272727271
R1_remove_oof_top100,3,1008,False,0.10761707716636242,0.9623015873015873,0.9942093448619886,1008.0,1.0,6.306414604187012,274,0.7074805425248877,0.7408759124087592,0.8191565798927762,258,0.5730840934570446,0.7790697674418605,0.8696835443037975,16,2.8746230602264404,0.125,0.05454545454545453
R1_remove_oof_top100,4,1008,False,0.06406899993973118,0.9801587301587301,0.9980088127702029,1008.0,1.0,6.576987981796265,274,0.7793036033637333,0.7408759124087592,0.803846791576853,258,0.6179897438648135,0.7829457364341085,0.855379746835443,16,3.3804900646209717,0.0625,0.07272727272727271
R1_remove_oof_top100,5,1008,False,0.06585618603738054,0.9811507936507936,0.996890588626538,1008.0,1.0,4.9018354415893555,274,0.9306923259749845,0.7445255474452555,0.7997015420328304,258,0.6675509034165058,0.7868217054263565,0.8599367088607595,16,5.1738481521606445,0.0625,0.018181818181818177
R1_remove_oof_top100,6,1008,False,0.06138333461306516,0.9771825396825397,0.99784253408713,1008.0,1.0,6.158413648605347,274,0.9078172969557073,0.7299270072992701,0.7909136129995027,258,0.7048933609973552,0.7713178294573644,0.8393670886075949,16,4.179965496063232,0.0625,0.12727272727272723
R1_remove_oof_top100,7,1008,False,0.05632015140653248,0.9821428571428571,0.9978342201529764,1008.0,1.0,6.208581924438477,274,1.0087327055469917,0.6970802919708029,0.7729508649754049,258,0.811728895519131,0.7325581395348837,0.8181645569620253,16,4.185419082641602,0.125,0.18181818181818177
R1_remove_oof_top100,8,1008,False,0.0694011444953965,0.9781746031746031,0.9965746591286998,1008.0,1.0,6.065816879272461,274,0.9651847032517412,0.7408759124087592,0.8037915215829327,258,0.7170083124277203,0.7829457364341085,0.8553164556962025,16,4.967029094696045,0.0625,0.10909090909090906
R1_remove_oof_top100,9,1008,False,0.034340346442712916,0.9880952380952381,0.9995385766544729,1008.0,1.0,6.3694329261779785,274,1.1103020066762492,0.7335766423357665,0.794671972586083,258,0.8735007597494495,0.7674418604651163,0.8381645569620253,16,4.9287214279174805,0.1875,0.14545454545454542
R1_remove_oof_top100,10,1008,False,0.043828476398688046,0.9841269841269841,0.9987653807781842,1008.0,1.0,4.882925033569336,274,1.0695702706592796,0.7481751824817519,0.7948930525617641,258,0.8278071223072303,0.7868217054263565,0.8381012658227848,16,4.968000888824463,0.125,0.12727272727272726
