run,name,shape,num_params
R1_remove_oof_top100,conv1.weight,"(64, 3, 7, 7)",9408
R1_remove_oof_top100,bn1.weight,"(64,)",64
R1_remove_oof_top100,bn1.bias,"(64,)",64
R1_remove_oof_top100,layer1.0.conv1.weight,"(64, 64, 3, 3)",36864
R1_remove_oof_top100,layer1.0.bn1.weight,"(64,)",64
R1_remove_oof_top100,layer1.0.bn1.bias,"(64,)",64
R1_remove_oof_top100,layer1.0.conv2.weight,"(64, 64, 3, 3)",36864
R1_remove_oof_top100,layer1.0.bn2.weight,"(64,)",64
R1_remove_oof_top100,layer1.0.bn2.bias,"(64,)",64
R1_remove_oof_top100,layer1.1.conv1.weight,"(64, 64, 3, 3)",36864
R1_remove_oof_top100,layer1.1.bn1.weight,"(64,)",64
R1_remove_oof_top100,layer1.1.bn1.bias,"(64,)",64
R1_remove_oof_top100,layer1.1.conv2.weight,"(64, 64, 3, 3)",36864
R1_remove_oof_top100,layer1.1.bn2.weight,"(64,)",64
R1_remove_oof_top100,layer1.1.bn2.bias,"(64,)",64
R1_remove_oof_top100,layer2.0.conv1.weight,"(128, 64, 3, 3)",73728
R1_remove_oof_top100,layer2.0.bn1.weight,"(128,)",128
R1_remove_oof_top100,layer2.0.bn1.bias,"(128,)",128
R1_remove_oof_top100,layer2.0.conv2.weight,"(128, 128, 3, 3)",147456
R1_remove_oof_top100,layer2.0.bn2.weight,"(128,)",128
R1_remove_oof_top100,layer2.0.bn2.bias,"(128,)",128
R1_remove_oof_top100,layer2.0.downsample.0.weight,"(128, 64, 1, 1)",8192
R1_remove_oof_top100,layer2.0.downsample.1.weight,"(128,)",128
R1_remove_oof_top100,layer2.0.downsample.1.bias,"(128,)",128
R1_remove_oof_top100,layer2.1.conv1.weight,"(128, 128, 3, 3)",147456
R1_remove_oof_top100,layer2.1.bn1.weight,"(128,)",128
R1_remove_oof_top100,layer2.1.bn1.bias,"(128,)",128
R1_remove_oof_top100,layer2.1.conv2.weight,"(128, 128, 3, 3)",147456
R1_remove_oof_top100,layer2.1.bn2.weight,"(128,)",128
R1_remove_oof_top100,layer2.1.bn2.bias,"(128,)",128
R1_remove_oof_top100,layer3.0.conv1.weight,"(256, 128, 3, 3)",294912
R1_remove_oof_top100,layer3.0.bn1.weight,"(256,)",256
R1_remove_oof_top100,layer3.0.bn1.bias,"(256,)",256
R1_remove_oof_top100,layer3.0.conv2.weight,"(256, 256, 3, 3)",589824
R1_remove_oof_top100,layer3.0.bn2.weight,"(256,)",256
R1_remove_oof_top100,layer3.0.bn2.bias,"(256,)",256
R1_remove_oof_top100,layer3.0.downsample.0.weight,"(256, 128, 1, 1)",32768
R1_remove_oof_top100,layer3.0.downsample.1.weight,"(256,)",256
R1_remove_oof_top100,layer3.0.downsample.1.bias,"(256,)",256
R1_remove_oof_top100,layer3.1.conv1.weight,"(256, 256, 3, 3)",589824
R1_remove_oof_top100,layer3.1.bn1.weight,"(256,)",256
R1_remove_oof_top100,layer3.1.bn1.bias,"(256,)",256
R1_remove_oof_top100,layer3.1.conv2.weight,"(256, 256, 3, 3)",589824
R1_remove_oof_top100,layer3.1.bn2.weight,"(256,)",256
R1_remove_oof_top100,layer3.1.bn2.bias,"(256,)",256
R1_remove_oof_top100,layer4.0.conv1.weight,"(512, 256, 3, 3)",1179648
R1_remove_oof_top100,layer4.0.bn1.weight,"(512,)",512
R1_remove_oof_top100,layer4.0.bn1.bias,"(512,)",512
R1_remove_oof_top100,layer4.0.conv2.weight,"(512, 512, 3, 3)",2359296
R1_remove_oof_top100,layer4.0.bn2.weight,"(512,)",512
R1_remove_oof_top100,layer4.0.bn2.bias,"(512,)",512
R1_remove_oof_top100,layer4.0.downsample.0.weight,"(512, 256, 1, 1)",131072
R1_remove_oof_top100,layer4.0.downsample.1.weight,"(512,)",512
R1_remove_oof_top100,layer4.0.downsample.1.bias,"(512,)",512
R1_remove_oof_top100,layer4.1.conv1.weight,"(512, 512, 3, 3)",2359296
R1_remove_oof_top100,layer4.1.bn1.weight,"(512,)",512
R1_remove_oof_top100,layer4.1.bn1.bias,"(512,)",512
R1_remove_oof_top100,layer4.1.conv2.weight,"(512, 512, 3, 3)",2359296
R1_remove_oof_top100,layer4.1.bn2.weight,"(512,)",512
R1_remove_oof_top100,layer4.1.bn2.bias,"(512,)",512
R1_remove_oof_top100,fc.weight,"(2, 512)",1024
R1_remove_oof_top100,fc.bias,"(2,)",2
