id,path,label,baseline_split,fold,oof_dusty_prob,oof_pred,mislabel_score_oof,dup_score,mislabel_score_v2_add,mislabel_rank_oof_global,rank_in_fold,is_candidate_top50,is_candidate_top100,active_candidate_set
train_01233,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01233.jpg,1,train,4,0.0978340208530426,0,0.9021659791469574,0.0,0.0010283137399642,189,33,False,False,False
train_00878,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00878.jpg,1,train,2,0.9988013505935669,1,0.0011986494064331055,1.0,0.0425654658018119,1159,203,False,False,False
train_00473,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00473.jpg,0,train,1,0.00023012066958472133,0,0.00023012066958472133,0.5625,1.248166892085546e-05,1252,249,False,False,False
train_00244,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00244.jpg,1,train,2,0.0002116043324349448,0,0.999788395667565,0.25,0.0599031934183343,13,5,True,True,True
train_01127,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01127.jpg,1,train,2,0.9998273253440857,1,0.00017267465591430664,0.0,0.000105537630021,1261,238,False,False,False
train_00315,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00315.jpg,0,train,1,0.18503443896770477,0,0.18503443896770477,0.0,0.0402973370710151,559,113,False,False,False
train_00322,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00322.jpg,1,train,3,0.13027505576610565,0,0.8697249442338943,0.0,0.0019792859132344,205,16,False,True,False
train_01179,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01179.jpg,0,train,2,0.0264693945646286,0,0.0264693945646286,0.0,0.0003515757648808,851,134,False,False,False
train_01294,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01294.jpg,0,train,0,0.032445069402456284,0,0.032445069402456284,0.0,5.214983656826704e-07,835,142,False,False,False
train_00088,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00088.jpg,0,train,3,0.35117945075035095,0,0.35117945075035095,0.0,3.220922258353067e-07,446,105,False,False,False
train_00424,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00424.jpg,1,train,1,0.005686537828296423,0,0.9943134621717036,0.0,0.0916204965228699,62,14,False,True,False
train_01258,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01258.jpg,0,train,2,0.005089696031063795,0,0.005089696031063795,0.0,0.0001652540958445,1029,164,False,False,False
train_00373,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00373.jpg,1,train,0,0.7954959273338318,1,0.2045040726661682,0.0,0.0011930990723164,547,101,False,False,False
train_00529,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00529.jpg,0,train,3,0.06952609866857529,0,0.06952609866857529,0.0,1.841447686078428e-08,718,204,False,False,False
train_00762,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00762.jpg,1,train,1,0.7087060213088989,1,0.2912939786911011,0.0,0.0,476,102,False,False,False
train_00920,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00920.jpg,0,train,1,0.00013502032379619777,0,0.00013502032379619777,0.0,1.8882643947251004e-05,1273,256,False,False,False
train_00349,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00349.jpg,0,train,1,0.29767414927482605,0,0.29767414927482605,0.0,0.0001455136544825,473,101,False,False,False
train_01162,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01162.jpg,0,train,2,0.04542387276887894,0,0.04542387276887894,0.0,0.0401184672273887,778,118,False,False,False
train_00774,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00774.jpg,1,train,4,0.7876952886581421,1,0.2123047113418579,0.0,0.0028618500089281,541,104,False,False,False
train_01335,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01335.jpg,0,train,4,0.0016208390006795526,0,0.0016208390006795526,0.0,5.124867702741093e-07,1130,250,False,False,False
train_00107,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00107.jpg,1,train,0,0.9470006227493286,1,0.05299937725067139,0.0,0.0013189037091865,754,123,False,False,False
train_00993,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00993.jpg,1,train,0,0.28414565324783325,0,0.7158543467521667,0.0,0.0001364167522733,282,67,False,False,False
train_00271,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00271.jpg,0,train,1,0.38947099447250366,0,0.38947099447250366,0.0,0.0023678055904682,428,96,False,False,False
train_00979,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00979.jpg,1,train,2,0.3536883294582367,0,0.6463116705417633,0.0,0.0041256659337759,308,55,False,False,False
train_01083,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01083.jpg,0,train,3,0.11131656169891357,0,0.11131656169891357,0.0625,3.075303881434477e-08,645,178,False,False,False
train_00011,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00011.jpg,0,train,4,0.022182971239089966,0,0.022182971239089966,0.5625,4.959763799661232e-09,867,179,False,False,False
train_01052,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01052.jpg,1,train,4,0.9981483221054077,1,0.0018516778945922852,0.0,0.0029739877247438,1122,248,False,False,False
train_00172,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00172.jpg,0,train,1,0.9974683523178101,1,0.9974683523178101,0.0,1.32730977519685e-06,47,8,True,True,True
train_00610,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00610.jpg,1,train,4,0.987566351890564,1,0.012433648109436035,0.0,0.0014493722330531,933,197,False,False,False
train_00559,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00559.jpg,0,train,1,0.16441254317760468,0,0.16441254317760468,0.0,5.869941656307851e-05,573,116,False,False,False
train_01225,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01225.jpg,0,train,2,0.00013784717884846032,0,0.00013784717884846032,0.0,0.0002792741908697,1271,242,False,False,False
train_00764,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00764.jpg,0,train,0,0.999278724193573,1,0.999278724193573,0.0,0.0002839091256818,22,10,True,True,True
train_01015,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01015.jpg,1,train,1,0.575221598148346,1,0.42477840185165405,0.0,0.0049307067731434,401,91,False,False,False
train_00223,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00223.jpg,0,train,1,3.4433330711181043e-06,0,3.4433330711181043e-06,0.0,0.0062793347719167,1338,270,False,False,False
train_01018,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01018.jpg,0,train,1,0.5047035217285156,1,0.5047035217285156,0.0,0.0306708797053728,370,83,False,False,False
train_00124,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00124.jpg,0,train,2,0.004945510067045689,0,0.004945510067045689,1.0,8.426800170037119e-07,1035,165,False,False,False
train_00321,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00321.jpg,0,train,1,0.009756403975188732,0,0.009756403975188732,0.0,0.0400160367146435,961,184,False,False,False
train_00523,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00523.jpg,1,train,3,0.6536234617233276,1,0.34637653827667236,0.0,8.586356622214061e-06,451,106,False,False,False
train_01238,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01238.jpg,0,train,4,0.005584631580859423,0,0.005584631580859423,1.0,0.0003982703279953,1019,221,False,False,False
train_00787,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00787.jpg,0,train,1,0.009530989453196526,0,0.009530989453196526,0.0,0.000171147124872,964,185,False,False,False
train_00357,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00357.jpg,0,train,3,0.012685148976743221,0,0.012685148976743221,0.0,4.077933389460891e-05,931,254,False,False,False
train_00866,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00866.jpg,1,train,0,0.9871674180030823,1,0.012832581996917725,0.0,0.006600388516247,929,158,False,False,False
train_00780,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00780.jpg,1,train,1,0.9998810291290283,1,0.00011897087097167969,0.0,0.0065576450264552,1275,257,False,False,False
train_00415,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00415.jpg,0,train,0,0.0008116381359286606,0,0.0008116381359286606,0.0,0.0012221621922143,1187,206,False,False,False
train_00200,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00200.jpg,0,train,2,0.9843561053276062,1,0.9843561053276062,0.0,0.1515395894801121,89,27,False,False,False
train_00108,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00108.jpg,0,train,4,0.020171739161014557,0,0.020171739161014557,0.0,0.0002509010218632,884,184,False,False,False
train_00333,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00333.jpg,0,train,0,3.156865432174527e-06,0,3.156865432174527e-06,0.0,0.0001375826891398,1341,261,False,False,False
train_00810,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00810.jpg,0,train,1,0.0013908048858866096,0,0.0013908048858866096,0.0,0.0017374083945111,1145,230,False,False,False
train_00307,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00307.jpg,0,train,3,0.0196736641228199,0,0.0196736641228199,0.0,1.228326935060576e-05,888,248,False,False,False
train_01212,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01212.jpg,1,train,0,0.003205846296623349,0,0.9967941537033767,0.0,7.556348016949479e-05,51,20,False,True,False
train_00402,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00402.jpg,1,train,4,0.9999752044677734,1,2.47955322265625e-05,0.0,4.627429322808397e-05,1307,273,False,False,False
train_01021,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01021.jpg,0,train,2,0.0040750931948423386,0,0.0040750931948423386,0.0,0.0454129493182264,1054,172,False,False,False
train_01024,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01024.jpg,0,train,4,0.001082934089936316,0,0.001082934089936316,0.0,0.0409330816938379,1169,260,False,False,False
train_00516,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00516.jpg,1,train,1,0.09410111606121063,0,0.9058988839387894,0.0,0.0455751009059916,185,45,False,False,False
train_00460,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00460.jpg,0,train,2,0.4061678946018219,0,0.4061678946018219,0.0,1.693202190161826e-05,413,72,False,False,False
train_00632,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00632.jpg,0,train,0,1.3370625140396442e-07,0,1.3370625140396442e-07,0.0,1.1366217148363507e-05,1361,271,False,False,False
train_00272,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00272.jpg,1,train,1,0.43653589487075806,0,0.5634641051292419,0.0,0.0086039098971244,347,79,False,False,False
train_00105,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00105.jpg,0,train,0,0.0002785364049486816,0,0.0002785364049486816,0.0,0.0031378258780284,1245,229,False,False,False
train_00475,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00475.jpg,1,train,0,0.0007658562390133739,0,0.9992341437609866,0.0,0.0002587324990154,24,11,False,True,False
