id,path,label,baseline_split,fold,oof_dusty_prob,oof_pred,mislabel_score_oof,dup_score,mislabel_score_v2_add,mislabel_rank_oof_global,rank_in_fold,is_candidate_top50,is_candidate_top100,active_candidate_set,sample_weight_before_removal
train_00244,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00244.jpg,1,train,2,0.00021262992231640965,0,0.9997873700776836,0.25,0.0599031934183343,13,5,True,True,True,0.875
train_00172,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00172.jpg,0,train,1,0.9974695444107056,1,0.9974695444107056,0.0,1.32730977519685e-06,47,8,True,True,True,1.0
train_00764,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00764.jpg,0,train,0,0.9992788434028625,1,0.9992788434028625,0.0,0.0002839091256818,22,10,True,True,True,1.0
train_00569,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00569.jpg,1,train,1,0.00011413652828196064,0,0.999885863471718,0.0,0.0707942339573329,11,2,True,True,True,1.0
train_00435,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00435.jpg,1,train,4,0.010695806704461575,0,0.9893041932955384,0.5625,0.1668024085801977,77,7,True,True,True,0.71875
train_00342,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00342.jpg,1,train,0,5.633481123368256e-05,0,0.9999436651887663,0.0,0.0004234844957017,6,5,True,True,True,1.0
train_00024,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00024.jpg,1,train,3,0.0833468809723854,0,0.9166531190276146,0.0,0.0002158095961299,177,10,True,True,True,1.0
train_01138,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01138.jpg,0,train,4,0.9985979199409485,1,0.9985979199409485,0.0,0.0,36,3,True,True,True,1.0
train_00194,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00194.jpg,1,train,1,0.0010585790732875466,0,0.9989414209267125,0.5625,0.1068691555999244,33,7,True,True,True,0.71875
train_00553,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00553.jpg,1,train,4,0.006078918464481831,0,0.9939210815355182,0.0,0.0107514154461114,64,6,True,True,True,1.0
train_00795,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00795.jpg,1,train,4,0.013586985878646374,0,0.9864130141213536,0.0,0.326919991768745,83,9,True,True,True,1.0
train_01192,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_01192.jpg,1,train,2,0.0007445971132256091,0,0.9992554028867744,0.0,0.0493525197495937,23,8,True,True,True,1.0
