id,path,label,pred_label,pred_clean,pred_dusty,confidence,embedding_row,nearest_id,nearest_cos_sim,resnet18_dup_score,phash_dup_score,phash_nearest_id,nearest_phash_dist,dup_score,dup_source,effective_nearest_id,nearest_label,label_conflict,mean_cos,centroid_cos,density_rank,centroid_rank,ood_score_raw,ood_score,disagreement,mislabel_score
train_00000,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00000.jpg,0,0,0.9849542379379272,0.015045788139104843,0.9699084162712097,0,train_00900,0.79801106,0.0,0.0,train_00706,18.0,0.0,none,train_00900,0,False,0.78180635,0.8151651,0.3535871156661786,0.9011713030746705,0.4273792093704246,0.4273792093704246,0.015045788139104843,0.00835627612439989
train_00001,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00001.jpg,1,1,0.0007718201377429068,0.9992282390594482,0.9984564781188965,1,train_00475,0.7943407,0.0,0.0,train_00317,18.0,0.0,none,train_00475,1,False,0.7849002,0.69646573,0.38799414348462663,0.13103953147877012,0.714787701317716,0.714787701317716,0.0007717609405517578,0.00021977595847029466
train_00002,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00002.jpg,0,0,0.9960202574729919,0.003979776054620743,0.9920404553413391,2,train_00039,0.92343783,0.0,0.0,train_00388,18.0,0.0,none,train_00039,0,False,0.8232091,0.7660397,0.7840409956076134,0.5387994143484627,0.3140556368960469,0.3140556368960469,0.003979776054620743,0.002708176150711143
train_00003,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00003.jpg,1,1,0.05178024619817734,0.9482197165489197,0.8964394330978394,3,train_01348,0.7355964,0.0,0.0,train_00109,20.0,0.0,none,train_01348,1,False,0.7069653,0.6427727,0.02342606149341142,0.034407027818448024,0.972181551976574,0.972181551976574,0.05178028345108032,0.001291273603086537
train_00004,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00004.jpg,1,0,0.7618246078491211,0.2381753921508789,0.5236492156982422,4,train_00646,0.74259436,0.0,0.0,train_00802,18.0,0.0,none,train_00646,0,False,0.73204064,0.79269505,0.06661786237188873,0.7730600292825769,0.650805270863836,0.650805270863836,0.7618246078491211,0.13930385465352188
train_00005,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00005.jpg,0,0,0.999985933303833,1.408264597557718e-05,0.9999718070030212,5,train_00330,0.80590236,0.0,0.0,train_00015,18.0,0.0,none,train_00330,0,False,0.79285586,0.7823903,0.4568081991215227,0.678623718887262,0.4544655929721815,0.4544655929721815,1.408264597557718e-05,7.682351327054986e-06
train_00006,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00006.jpg,1,0,0.9771957397460938,0.022804295644164085,0.9543914198875427,6,train_00043,0.80773365,0.0,0.0,train_00291,16.0,0.0,none,train_00043,0,False,0.7777878,0.83971065,0.31551976573938506,0.9838945827232797,0.41713030746705704,0.41713030746705704,0.9771957043558359,0.5436001268569136
train_00007,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00007.jpg,0,0,0.9950622916221619,0.004937673453241587,0.9901246428489685,7,train_00301,0.9032353,0.0,0.0625,train_00301,6.0,0.0625,phash,train_00301,0,False,0.81376076,0.8075384,0.6859443631039531,0.8674963396778916,0.2414348462664715,0.2414348462664715,0.004937673453241587,0.003708558407574511
train_00008,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00008.jpg,1,1,0.3020300567150116,0.6979699730873108,0.3959399461746216,8,train_00543,0.7818748,0.0,0.0,train_00044,20.0,0.0,none,train_00543,1,False,0.7631269,0.805635,0.21595900439238652,0.8587115666178624,0.5269399707174232,0.5269399707174232,0.3020300269126892,0.05657123962622866
train_00009,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00009.jpg,1,1,0.24106451869010925,0.7589355111122131,0.5178710222244263,9,train_01172,0.8996115,0.0,0.0,train_00066,18.0,0.0,none,train_01172,0,False,0.78237724,0.7251041,0.3579795021961933,0.24743777452415813,0.6862371888726208,0.6862371888726208,0.24106448888778687,0.03917024763748563
