score_bin,count,score_min,score_max,score_mean,confidence_median,raw_model_disagreement_median,knn10_label_disagreement_median,dup_positive,score_col,ratio
0.00-0.05,1211,0.0,0.0,0.0,0.9962339401245116,0.0019169370643794,0.0,0,dup_score,0.8865300146412884
0.05-0.10,14,0.0625,0.0625,0.0625,0.9999531209468842,2.3433446585841015e-05,0.0,14,dup_score,0.010248901903367497
0.10-0.15,0,,,,,,,0,dup_score,0.0
0.15-0.20,0,,,,,,,0,dup_score,0.0
0.20-0.25,16,0.25,0.25,0.25,0.9988970756530762,0.0005514465883606501,0.0,16,dup_score,0.01171303074670571
0.25-0.30,0,,,,,,,0,dup_score,0.0
0.30-0.35,0,,,,,,,0,dup_score,0.0
0.35-0.40,0,,,,,,,0,dup_score,0.0
0.40-0.45,0,,,,,,,0,dup_score,0.0
0.45-0.50,0,,,,,,,0,dup_score,0.0
0.50-0.55,0,,,,,,,0,dup_score,0.0
0.55-0.60,36,0.5625,0.5625,0.5625,0.9977603256702422,0.0012189301196484999,0.0,36,dup_score,0.02635431918008785
0.60-0.65,0,,,,,,,0,dup_score,0.0
0.65-0.70,0,,,,,,,0,dup_score,0.0
0.70-0.75,0,,,,,,,0,dup_score,0.0
0.75-0.80,0,,,,,,,0,dup_score,0.0
0.80-0.85,0,,,,,,,0,dup_score,0.0
0.85-0.90,0,,,,,,,0,dup_score,0.0
0.90-0.95,0,,,,,,,0,dup_score,0.0
0.95-1.00,89,1.0,1.0,1.0,0.998671531677246,0.0006980580510571,0.0,89,dup_score,0.06515373352855051
0.00-0.05,1235,0.0,0.04477004477004475,0.00011863979475315448,0.9975508451461792,0.0012829767074435,0.0,147,ood_score_v2,0.904099560761347
0.05-0.10,6,0.05291005291005244,0.09361009361009334,0.0732600732600731,0.7714808285236359,0.11425958201289176,0.15000000000000002,1,ood_score_v2,0.004392386530014641
0.10-0.15,6,0.10175010175010227,0.14245014245014195,0.12210012210012211,0.9808169901371002,0.00959151517599815,0.1,0,ood_score_v2,0.004392386530014641
0.15-0.20,7,0.15059015059015088,0.19943019943019946,0.17501017501017516,0.9273931980133056,0.0363033898174762,0.0,2,ood_score_v2,0.005124450951683748
0.20-0.25,6,0.20757020757020714,0.24827024827024805,0.227920227920228,0.9325922429561615,0.03370385640300805,0.0,1,ood_score_v2,0.004392386530014641
0.25-0.30,6,0.256410256410257,0.2971102971102979,0.27676027676027704,0.9184744954109192,0.0407627536915242,0.1,0,ood_score_v2,0.004392386530014641
0.30-0.35,6,0.30525030525030555,0.34595034595034646,0.3256003256003258,0.8694616854190826,0.06526915729045865,0.1,0,ood_score_v2,0.004392386530014641
0.35-0.40,6,0.35409035409035416,0.39479039479039507,0.3744403744403748,0.7704845070838928,0.11475776182487606,0.15000000000000002,0,ood_score_v2,0.004392386530014641
0.40-0.45,6,0.4029304029304028,0.4436304436304437,0.42328042328042365,0.795309990644455,0.10234500840306275,0.15000000000000002,0,ood_score_v2,0.004392386530014641
0.45-0.50,6,0.4517704517704526,0.4924704924704935,0.47212047212047265,0.7453330159187317,0.12733346503227946,0.05,1,ood_score_v2,0.004392386530014641
0.50-0.55,7,0.5006105006105012,0.5494505494505498,0.5250305250305255,0.9710662961006165,0.1681863963603973,0.1,1,ood_score_v2,0.005124450951683748
0.55-0.60,6,0.5575905575905588,0.5982905982905984,0.5779405779405785,0.875603199005127,0.0621983893215656,0.15000000000000002,0,ood_score_v2,0.004392386530014641
0.60-0.65,6,0.6064306064306073,0.6471306471306482,0.6267806267806276,0.7920971214771271,0.1347687859088182,0.2,1,ood_score_v2,0.004392386530014641
0.65-0.70,6,0.6552706552706559,0.6959706959706968,0.6756206756206763,0.7374021410942078,0.22823156416416163,0.25,0,ood_score_v2,0.004392386530014641
0.70-0.75,6,0.7041107041107045,0.7448107448107454,0.7244607244607252,0.9264096617698669,0.03679518774151795,0.05,0,ood_score_v2,0.004392386530014641
0.75-0.80,6,0.7529507529507543,0.793650793650794,0.7733007733007741,0.9438140392303467,0.02809298504143945,0.15000000000000002,0,ood_score_v2,0.004392386530014641
0.80-0.85,6,0.801790801790803,0.8424908424908438,0.8221408221408232,0.7187091112136841,0.14064542949199668,0.15000000000000002,0,ood_score_v2,0.004392386530014641
0.85-0.90,7,0.8506308506308515,0.8994708994709001,0.875050875050876,0.818198025226593,0.090900994837284,0.1,0,ood_score_v2,0.005124450951683748
0.90-0.95,6,0.907610907610909,0.94831094831095,0.9279609279609291,0.6087610721588135,0.30665008723735804,0.25,0,ood_score_v2,0.004392386530014641
0.95-1.00,20,0.9564509564509577,1.0,0.9930402930402934,0.819014847278595,0.09049258381128311,0.15000000000000002,1,ood_score_v2,0.014641288433382138
0.00-0.05,1147,0.0,0.049724652858431,0.007266196357990122,0.9980915784835817,0.0009542006300762,0.0,126,mislabel_score_v2_add,0.8396778916544656
0.05-0.10,73,0.05021230374741833,0.09818230089047575,0.0710026854454282,0.936900794506073,0.0315496064722538,0.1,8,mislabel_score_v2_add,0.053440702781844804
0.10-0.15,33,0.10062191464287876,0.14978688090728864,0.1247031412498008,0.7805017232894897,0.1097491383552551,0.2,7,mislabel_score_v2_add,0.024158125915080528
0.15-0.20,22,0.1515395894801121,0.19964545448476828,0.17882829143525544,0.7524940967559814,0.14966508001089096,0.3,2,mislabel_score_v2_add,0.016105417276720352
0.20-0.25,10,0.2026435164119746,0.24648474633416134,0.22097117635688673,0.37469637393951416,0.3126518130302429,0.2,3,mislabel_score_v2_add,0.007320644216691069
0.25-0.30,10,0.2516191800583853,0.2961159335920662,0.27586545107791427,0.4222084879875183,0.31895473599433893,0.45,2,mislabel_score_v2_add,0.007320644216691069
0.30-0.35,6,0.30977043103155216,0.3459021277938854,0.3325620885351978,0.5163257420063019,0.44889846444129944,0.6,0,mislabel_score_v2_add,0.004392386530014641
0.35-0.40,8,0.35311542300386684,0.39962000886702076,0.3808571761414373,0.30149257183074946,0.6129382848739624,0.6,2,mislabel_score_v2_add,0.005856515373352855
0.40-0.45,2,0.40343274857958533,0.4095832407756028,0.4065079946775941,0.4241053462028503,0.3789679706096649,0.65,0,mislabel_score_v2_add,0.0014641288433382138
0.45-0.50,2,0.461369386338099,0.47910744769076186,0.4702384170144304,0.18108046054840085,0.5905402302742004,0.6499999999999999,0,mislabel_score_v2_add,0.0014641288433382138
0.50-0.55,1,0.5499162270523426,0.5499162270523426,0.5499162270523426,0.2380528450012207,0.6190264225006104,0.8,0,mislabel_score_v2_add,0.0007320644216691069
