id,path,label,pred_label,pred_clean,pred_dusty,confidence,embedding_row,nearest_id,nearest_cos_sim,resnet18_dup_score,phash_dup_score,phash_nearest_id,nearest_phash_dist,dup_score,dup_source,effective_nearest_id,nearest_label,label_conflict,mean_cos,centroid_cos,density_rank,centroid_rank,ood_score_raw,ood_score,disagreement,mislabel_score,ood_score_v1,ood_score_raw_v1,mislabel_score_v1,raw_model_disagreement_v1,mean_knn1_cos,mean_knn5_cos,mean_knn10_cos,mean_knn20_cos,embedding_knn1_id,embedding_knn1_cos,embedding_knn1_label,ood_raw_rank_knn5,ood_raw_rank_knn10,ood_raw_rank_knn20,ood_score_v2_raw,ood_score_v2_q90_q99,ood_score_v2_q95_q995,ood_score_v2,knn1_label_disagreement,knn5_label_disagreement,knn10_label_disagreement,knn20_label_disagreement,raw_model_disagreement,model_signal_v2,knn_signal_v2,inlier_weight_v2,mislabel_score_v2_add,mislabel_score_v2_mul
train_00000,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00000.jpg,0,0,0.9849542379379272,0.0150457881391048,0.9699084162712096,0,train_00900,0.79801106,0.0,0.0,train_00706,18.0,0.0,none,train_00900,0,False,0.78180635,0.8151651,0.3535871156661786,0.9011713030746704,0.4273792093704246,0.4273792093704246,0.0150457881391048,0.0083562761243998,0.4273792093704246,0.4273792093704246,0.0083562761243998,0.0150457881391048,0.79801095,0.7884215,0.78180635,0.7736622,train_00900,0.79801095,0,0.7020497803806734,0.6471449487554904,0.5995607613469985,0.6471449487554904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0150457881391048,0.014819412342328043,0.0,1.0,0.008891647405396826,0.0
train_00001,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00001.jpg,1,1,0.0007718201377429,0.9992282390594482,0.9984564781188964,1,train_00475,0.7943407,0.0,0.0,train_00317,18.0,0.0,none,train_00475,1,False,0.7849002,0.69646573,0.3879941434846266,0.1310395314787701,0.714787701317716,0.714787701317716,0.0007717609405517,0.0002197759584702,0.714787701317716,0.714787701317716,0.0002197759584702,0.0007717609405517,0.7943406,0.791442,0.78490007,0.77530795,train_00475,0.7943406,1,0.6756954612005857,0.6127379209370425,0.5841874084919473,0.6127379209370425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007718201377429,0.0007712244771074587,0.0,1.0,0.0004627346862644752,0.0
train_00002,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00002.jpg,0,0,0.996020257472992,0.0039797760546207,0.9920404553413392,2,train_00039,0.92343783,0.0,0.0,train_00388,18.0,0.0,none,train_00039,0,False,0.8232091,0.7660397,0.7840409956076134,0.5387994143484627,0.3140556368960469,0.3140556368960469,0.0039797760546207,0.0027081761507111,0.3140556368960469,0.3140556368960469,0.0027081761507111,0.0039797760546207,0.923438,0.85378516,0.823209,0.7870741,train_00039,0.923438,0,0.12371888726207907,0.21669106881405564,0.4538799414348463,0.21669106881405564,0.0,0.0,0.0,0.0,0.4,0.2,0.15,0.0039797760546207,0.003963937452001589,0.2,1.0,0.08237836247120096,0.028156482209258985
train_00003,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00003.jpg,1,1,0.0517802461981773,0.9482197165489196,0.8964394330978394,3,train_01348,0.7355964,0.0,0.0,train_00109,20.0,0.0,none,train_01348,1,False,0.7069653,0.6427727,0.0234260614934114,0.034407027818448,0.972181551976574,0.972181551976574,0.0517802834510803,0.0012912736030865,0.972181551976574,0.972181551976574,0.0012912736030865,0.0517802834510803,0.73559654,0.722805,0.7069654,0.69370395,train_01348,0.73559654,1,0.9780380673499268,0.9773060029282576,0.9655929721815519,0.9773060029282576,0.8587708587708592,0.6064306064306055,0.8587708587708592,0.0,0.0,0.0,0.0,0.0517802461981773,0.049099050372868956,0.0,0.0,0.0,0.0
train_00004,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00004.jpg,1,0,0.7618246078491211,0.2381753921508789,0.5236492156982422,4,train_00646,0.74259436,0.0,0.0,train_00802,18.0,0.0,none,train_00646,0,False,0.73204064,0.79269505,0.0666178623718887,0.7730600292825769,0.650805270863836,0.650805270863836,0.7618246078491211,0.1393038546535218,0.650805270863836,0.650805270863836,0.1393038546535218,0.7618246078491211,0.7425943,0.7389165,0.7320405,0.7226268,train_00646,0.7425943,0,0.9568081991215227,0.9341142020497804,0.917276720351391,0.9341142020497804,0.37851037851037844,0.0,0.37851037851037844,1.0,0.8,0.6,0.65,0.7618246078491211,0.5803767331244671,0.6,0.5546936723407312,0.32628526222453175,0.3273285100653789
train_00005,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00005.jpg,0,0,0.999985933303833,1.408264597557718e-05,0.9999718070030212,5,train_00330,0.80590236,0.0,0.0,train_00015,18.0,0.0,none,train_00330,0,False,0.79285586,0.7823903,0.4568081991215227,0.678623718887262,0.4544655929721815,0.4544655929721815,1.408264597557718e-05,7.682351327054986e-06,0.4544655929721815,0.4544655929721815,7.682351327054986e-06,1.408264597557718e-05,0.8059023,0.79980505,0.79285586,0.78420496,train_00330,0.8059023,0,0.6127379209370425,0.5439238653001464,0.4882869692532943,0.5439238653001464,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.408264597557718e-05,1.4082447459579458e-05,0.0,1.0,8.449468475747675e-06,0.0
train_00006,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00006.jpg,1,0,0.9771957397460938,0.022804295644164,0.9543914198875428,6,train_00043,0.80773365,0.0,0.0,train_00291,16.0,0.0,none,train_00043,0,False,0.7777878,0.83971065,0.315519765739385,0.9838945827232796,0.417130307467057,0.417130307467057,0.977195704355836,0.5436001268569136,0.417130307467057,0.417130307467057,0.5436001268569136,0.977195704355836,0.8077338,0.7899247,0.7777878,0.7678368,train_00043,0.8077338,0,0.691800878477306,0.6852122986822841,0.6544655929721815,0.6852122986822841,0.0,0.0,0.0,1.0,1.0,0.9,0.9,0.9771957397460938,0.9549114846552129,0.9,1.0,0.9329468907931278,0.927049263086753
train_00007,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00007.jpg,0,0,0.995062291622162,0.0049376734532415,0.9901246428489684,7,train_00301,0.9032353,0.0,0.0625,train_00301,6.0,0.0625,phash,train_00301,0,False,0.81376076,0.8075384,0.6859443631039531,0.8674963396778916,0.2414348462664715,0.2414348462664715,0.0049376734532415,0.0037085584075745,0.2414348462664715,0.2414348462664715,0.0037085584075745,0.0049376734532415,0.9032353,0.8325714,0.81376076,0.7966626,train_00301,0.9032353,0,0.28989751098096633,0.31478770131771594,0.3404099560761347,0.31478770131771594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049376734532415,0.004913292808818536,0.0,1.0,0.0029479756852911214,0.0
train_00008,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00008.jpg,1,1,0.3020300567150116,0.6979699730873108,0.3959399461746216,8,train_00543,0.7818748,0.0,0.0,train_00044,20.0,0.0,none,train_00543,1,False,0.7631269,0.805635,0.2159590043923865,0.8587115666178624,0.5269399707174232,0.5269399707174232,0.3020300269126892,0.0565712396262286,0.5269399707174232,0.5269399707174232,0.0565712396262286,0.3020300269126892,0.78187466,0.77061504,0.76312685,0.755311,train_00543,0.78187466,1,0.8345534407027818,0.7847730600292826,0.7452415812591509,0.7847730600292826,0.0,0.0,0.0,0.0,0.2,0.3,0.2,0.3020300567150116,0.2108079105569356,0.3,1.0,0.24648474633416134,0.2514803633826718
train_00009,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00009.jpg,1,1,0.2410645186901092,0.7589355111122131,0.5178710222244263,9,train_01172,0.8996115,0.0,0.0,train_00066,18.0,0.0,none,train_01172,0,False,0.78237724,0.7251041,0.3579795021961933,0.2474377745241581,0.6862371888726208,0.6862371888726208,0.2410644888877868,0.0391702476374856,0.6862371888726208,0.6862371888726208,0.0391702476374856,0.2410644888877868,0.8996116,0.8322714,0.7823773,0.745043,train_01172,0.8996116,0,0.29282576866764276,0.6427525622254758,0.8191800878477306,0.6427525622254758,0.0,0.0,0.0,1.0,0.4,0.4,0.2,0.2410645186901092,0.18295242370309767,0.4,1.0,0.2697714542218586,0.27051981347257925
