left,right,n,overlap_count,overlap_ratio,overlap_ids
ood_score_original,global_nn1_ood,50,29,0.58,"train_00003,train_00012,train_00020,train_00051,train_00101,train_00204,train_00248,train_00314,train_00365,train_00434,train_00459,train_00478,train_00487,train_00572,train_00726,train_00742,train_00762,train_00774,train_00901,train_00910,train_00931,train_00978,train_00990,train_01046,train_01113,train_01223,train_01245,train_01283,train_01307"
ood_score_original,ood_score_v3_max,50,34,0.68,"train_00003,train_00012,train_00020,train_00051,train_00058,train_00179,train_00204,train_00226,train_00248,train_00314,train_00319,train_00365,train_00434,train_00459,train_00478,train_00487,train_00572,train_00726,train_00742,train_00762,train_00774,train_00834,train_00901,train_00910,train_00931,train_00955,train_00973,train_00990,train_01046,train_01113,train_01220,train_01223,train_01242,train_01283"
ood_score_original,ood_score_v3_top3,50,33,0.66,"train_00003,train_00012,train_00020,train_00051,train_00058,train_00204,train_00226,train_00248,train_00314,train_00319,train_00365,train_00434,train_00459,train_00487,train_00572,train_00726,train_00742,train_00762,train_00774,train_00834,train_00910,train_00931,train_00955,train_00973,train_00986,train_00990,train_01003,train_01046,train_01113,train_01220,train_01223,train_01242,train_01283"
ood_score_original,ood_score_v3_top5,50,35,0.7,"train_00003,train_00012,train_00020,train_00051,train_00058,train_00070,train_00204,train_00226,train_00248,train_00314,train_00319,train_00365,train_00434,train_00459,train_00487,train_00572,train_00692,train_00726,train_00742,train_00762,train_00774,train_00834,train_00910,train_00931,train_00973,train_00978,train_00986,train_00990,train_01003,train_01046,train_01113,train_01220,train_01223,train_01242,train_01283"
ood_score_original,ood_score_v3_proto,50,44,0.88,"train_00003,train_00012,train_00020,train_00051,train_00058,train_00070,train_00101,train_00149,train_00179,train_00204,train_00226,train_00231,train_00248,train_00314,train_00325,train_00365,train_00423,train_00434,train_00459,train_00487,train_00562,train_00572,train_00692,train_00726,train_00742,train_00762,train_00774,train_00777,train_00901,train_00910,train_00931,train_00973,train_00978,train_00986,train_00990,train_01003,train_01113,train_01138,train_01220,train_01223,train_01242,train_01245,train_01283,train_01307"
ood_score_v3_max,ood_score_original,50,34,0.68,"train_00003,train_00012,train_00020,train_00051,train_00058,train_00179,train_00204,train_00226,train_00248,train_00314,train_00319,train_00365,train_00434,train_00459,train_00478,train_00487,train_00572,train_00726,train_00742,train_00762,train_00774,train_00834,train_00901,train_00910,train_00931,train_00955,train_00973,train_00990,train_01046,train_01113,train_01220,train_01223,train_01242,train_01283"
ood_score_v3_max,global_nn1_ood,50,35,0.7,"train_00003,train_00012,train_00020,train_00051,train_00076,train_00127,train_00204,train_00212,train_00248,train_00314,train_00365,train_00434,train_00459,train_00478,train_00487,train_00572,train_00726,train_00742,train_00762,train_00774,train_00859,train_00901,train_00910,train_00931,train_00967,train_00990,train_01046,train_01057,train_01112,train_01113,train_01173,train_01192,train_01223,train_01283,train_01321"
ood_score_v3_max,ood_score_v3_top3,50,46,0.92,"train_00003,train_00012,train_00020,train_00051,train_00058,train_00076,train_00127,train_00204,train_00212,train_00226,train_00248,train_00314,train_00319,train_00340,train_00365,train_00434,train_00459,train_00487,train_00572,train_00616,train_00661,train_00726,train_00742,train_00762,train_00774,train_00834,train_00859,train_00910,train_00931,train_00955,train_00967,train_00973,train_00990,train_01046,train_01057,train_01112,train_01113,train_01173,train_01192,train_01201,train_01208,train_01220,train_01223,train_01242,train_01283,train_01321"
ood_score_v3_max,ood_score_v3_top5,50,43,0.86,"train_00003,train_00012,train_00020,train_00051,train_00058,train_00076,train_00127,train_00204,train_00212,train_00226,train_00248,train_00314,train_00319,train_00340,train_00365,train_00434,train_00459,train_00487,train_00572,train_00661,train_00726,train_00742,train_00762,train_00774,train_00834,train_00859,train_00910,train_00931,train_00967,train_00973,train_00990,train_01046,train_01057,train_01112,train_01113,train_01173,train_01201,train_01208,train_01220,train_01223,train_01242,train_01283,train_01321"
ood_score_v3_max,ood_score_v3_proto,50,35,0.7,"train_00003,train_00012,train_00020,train_00051,train_00058,train_00076,train_00127,train_00179,train_00204,train_00212,train_00226,train_00248,train_00314,train_00365,train_00434,train_00459,train_00487,train_00572,train_00661,train_00726,train_00742,train_00762,train_00774,train_00901,train_00910,train_00931,train_00967,train_00973,train_00990,train_01113,train_01208,train_01220,train_01223,train_01242,train_01283"
