id,path,label,pred_label,pred_clean,pred_dusty,confidence,embedding_row,nearest_id,nearest_cos_sim,resnet18_dup_score,phash_dup_score,phash_nearest_id,nearest_phash_dist,dup_score,dup_source,effective_nearest_id,nearest_label,label_conflict,mean_cos,centroid_cos,density_rank,centroid_rank,ood_score_raw,ood_score,disagreement,mislabel_score,ood_score_v1,ood_score_raw_v1,mislabel_score_v1,raw_model_disagreement_v1,mean_knn1_cos,mean_knn5_cos,mean_knn10_cos,mean_knn20_cos,embedding_knn1_id,embedding_knn1_cos,embedding_knn1_label,ood_raw_rank_knn5,ood_raw_rank_knn10,ood_raw_rank_knn20,ood_score_v2_raw,ood_score_v2_q90_q99,ood_score_v2_q95_q995,ood_score_v2,knn1_label_disagreement,knn5_label_disagreement,knn10_label_disagreement,knn20_label_disagreement,raw_model_disagreement,model_signal_v2,knn_signal_v2,inlier_weight_v2,mislabel_score_v2_add,mislabel_score_v2_mul,ood_score_original,global_nn1_id,global_nn1_label,global_nn1_cos,global_nn1_distance,global_nn1_ood,ood_score_nn1_only,panelness_nn1_rank,panelness_anchor_max_sim,panelness_anchor_top3_sim,panelness_anchor_top5_sim,panelness_anchor_proto_sim,panelness_anchor_max_rank,panelness_anchor_top3_rank,panelness_anchor_top5_rank,panelness_anchor_proto_rank,panelness_final_max,ood_score_v3_max_mult,ood_score_v3_max_cap_only,ood_score_v3_max,panelness_final_top3,ood_score_v3_top3_mult,ood_score_v3_top3_cap_only,ood_score_v3_top3,panelness_final_top5,ood_score_v3_top5_mult,ood_score_v3_top5_cap_only,ood_score_v3_top5,panelness_final_proto,ood_score_v3_proto_mult,ood_score_v3_proto_cap_only,ood_score_v3_proto
train_00000,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00000.jpg,0,0,0.9849542379379272,0.0150457881391048,0.9699084162712096,0,train_00900,0.79801106,0.0,0.0,train_00706,18.0,0.0,none,train_00900,0,False,0.78180635,0.8151651,0.3535871156661786,0.9011713030746704,0.4273792093704246,0.4273792093704246,0.0150457881391048,0.0083562761243998,0.4273792093704246,0.4273792093704246,0.0083562761243998,0.0150457881391048,0.79801095,0.7884215,0.78180635,0.7736622,train_00900,0.79801095,0,0.7020497803806734,0.6471449487554904,0.5995607613469985,0.6471449487554904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0150457881391048,0.014819412342328,0.0,1.0,0.0088916474053968,0.0,0.0,train_00900,0,0.79801095,0.20198905,0.7708638360175696,0.7708638360175696,0.22986822840409957,0.65282536,0.63589025,0.6215509,0.75640374,0.6691068814055637,0.7759882869692533,0.8389458272327965,0.8982430453879942,0.5373352855051244,0.0,0.0,0.0,0.6121522693997071,0.0,0.0,0.0,0.6562225475841874,0.0,0.0,0.0,0.6977306002928257,0.0,0.0,0.0
train_00001,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00001.jpg,1,1,0.0007718201377429,0.9992282390594482,0.9984564781188964,1,train_00475,0.7943407,0.0,0.0,train_00317,18.0,0.0,none,train_00475,1,False,0.7849002,0.69646573,0.3879941434846266,0.1310395314787701,0.714787701317716,0.714787701317716,0.0007717609405517,0.0002197759584702,0.714787701317716,0.714787701317716,0.0002197759584702,0.0007717609405517,0.7943406,0.791442,0.78490007,0.77530795,train_00475,0.7943406,1,0.6756954612005857,0.6127379209370425,0.5841874084919473,0.6127379209370425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007718201377429,0.0007712244771074,0.0,1.0,0.0004627346862644,0.0,0.0,train_00475,1,0.7943406,0.20565939,0.7950219619326501,0.7950219619326501,0.20571010248901903,0.5831877,0.5762196,0.5615274,0.6770993,0.07174231332357248,0.116398243045388,0.11420204978038068,0.2540263543191801,0.11193265007320644,0.0,0.0,0.0,0.1431918008784773,0.0,0.0,0.0,0.14165446559297218,0.0,0.0,0.0,0.23953147877013176,0.0,0.0,0.0
train_00002,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00002.jpg,0,0,0.996020257472992,0.0039797760546207,0.9920404553413392,2,train_00039,0.92343783,0.0,0.0,train_00388,18.0,0.0,none,train_00039,0,False,0.8232091,0.7660397,0.7840409956076134,0.5387994143484627,0.3140556368960469,0.3140556368960469,0.0039797760546207,0.0027081761507111,0.3140556368960469,0.3140556368960469,0.0027081761507111,0.0039797760546207,0.923438,0.85378516,0.823209,0.7870741,train_00039,0.923438,0,0.123718887262079,0.2166910688140556,0.4538799414348463,0.2166910688140556,0.0,0.0,0.0,0.0,0.4,0.2,0.15,0.0039797760546207,0.0039639374520015,0.2,1.0,0.0823783624712009,0.0281564822092589,0.0,train_00039,0,0.923438,0.07656199,0.23682284040995608,0.23682284040995608,0.763909224011713,0.6003684,0.5939495,0.5842925,0.711984,0.1493411420204978,0.27159590043923865,0.33162518301610544,0.541727672035139,0.3337115666178624,0.0,0.0,0.0,0.41928989751098095,0.0,0.0,0.0,0.4613103953147877,0.0,0.0,0.0,0.6083821376281112,0.0,0.0,0.0
train_00003,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00003.jpg,1,1,0.0517802461981773,0.9482197165489196,0.8964394330978394,3,train_01348,0.7355964,0.0,0.0,train_00109,20.0,0.0,none,train_01348,1,False,0.7069653,0.6427727,0.0234260614934114,0.034407027818448,0.972181551976574,0.972181551976574,0.0517802834510803,0.0012912736030865,0.972181551976574,0.972181551976574,0.0012912736030865,0.0517802834510803,0.73559654,0.722805,0.7069654,0.69370395,train_01348,0.73559654,1,0.9780380673499268,0.9773060029282576,0.965592972181552,0.9773060029282576,0.8587708587708592,0.6064306064306055,0.8587708587708592,0.0,0.0,0.0,0.0,0.0517802461981773,0.0490990503728689,0.0,0.0,0.0,0.0,0.8587708587708592,train_01348,1,0.73559654,0.26440346,0.9846266471449487,0.9846266471449487,0.016105417276720352,0.6890727,0.6095602,0.57465756,0.68822485,0.9121522693997072,0.44143484626647145,0.232796486090776,0.32723279648609077,0.6433382137628111,0.4444107760359593,0.8587708587708592,0.4444107760359593,0.3138360175695461,0.6566359390297901,0.8587708587708592,0.6566359390297901,0.1677891654465593,0.7507015244936186,0.8587708587708592,0.7507015244936186,0.23389458272327962,0.7081244700205173,0.8587708587708592,0.7081244700205173
train_00004,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00004.jpg,1,0,0.7618246078491211,0.2381753921508789,0.5236492156982422,4,train_00646,0.74259436,0.0,0.0,train_00802,18.0,0.0,none,train_00646,0,False,0.73204064,0.79269505,0.0666178623718887,0.7730600292825769,0.650805270863836,0.650805270863836,0.7618246078491211,0.1393038546535218,0.650805270863836,0.650805270863836,0.1393038546535218,0.7618246078491211,0.7425943,0.7389165,0.7320405,0.7226268,train_00646,0.7425943,0,0.9568081991215228,0.9341142020497804,0.917276720351391,0.9341142020497804,0.3785103785103784,0.0,0.3785103785103784,1.0,0.8,0.6,0.65,0.7618246078491211,0.5803767331244671,0.6,0.5546936723407312,0.3262852622245317,0.3273285100653789,0.3785103785103784,train_00646,0,0.7425943,0.2574057,0.9787701317715959,0.9787701317715959,0.021961932650073207,0.6022455,0.5969839,0.58792126,0.73402315,0.16910688140556368,0.30453879941434847,0.37920937042459735,0.7496339677891655,0.12496339677891653,0.34303542154933064,0.3785103785103784,0.34303542154933064,0.21976573938506588,0.3161226686116876,0.3785103785103784,0.3161226686116876,0.2720351390922401,0.301284285910933,0.3785103785103784,0.301284285910933,0.5313323572474378,0.22767426976797395,0.3785103785103784,0.22767426976797395
train_00005,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00005.jpg,0,0,0.999985933303833,1.408264597557718e-05,0.9999718070030212,5,train_00330,0.80590236,0.0,0.0,train_00015,18.0,0.0,none,train_00330,0,False,0.79285586,0.7823903,0.4568081991215227,0.678623718887262,0.4544655929721815,0.4544655929721815,1.408264597557718e-05,7.682351327054986e-06,0.4544655929721815,0.4544655929721815,7.682351327054986e-06,1.408264597557718e-05,0.8059023,0.79980505,0.79285586,0.78420496,train_00330,0.8059023,0,0.6127379209370425,0.5439238653001464,0.4882869692532943,0.5439238653001464,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.408264597557718e-05,1.4082447459579458e-05,0.0,1.0,8.449468475747675e-06,0.0,0.0,train_00330,0,0.8059023,0.1940977,0.719619326500732,0.719619326500732,0.28111273792093705,0.6213827,0.60362667,0.5941831,0.6708675,0.33528550512445093,0.3718887262079063,0.46486090775988287,0.21156661786237188,0.31903367496339674,0.0,0.0,0.0,0.34465592972181547,0.0,0.0,0.0,0.4097364568081991,0.0,0.0,0.0,0.23243045387994143,0.0,0.0,0.0
train_00006,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00006.jpg,1,0,0.9771957397460938,0.022804295644164,0.9543914198875428,6,train_00043,0.80773365,0.0,0.0,train_00291,16.0,0.0,none,train_00043,0,False,0.7777878,0.83971065,0.315519765739385,0.9838945827232796,0.417130307467057,0.417130307467057,0.977195704355836,0.5436001268569136,0.417130307467057,0.417130307467057,0.5436001268569136,0.977195704355836,0.8077338,0.7899247,0.7777878,0.7678368,train_00043,0.8077338,0,0.691800878477306,0.6852122986822841,0.6544655929721815,0.6852122986822841,0.0,0.0,0.0,1.0,1.0,0.9,0.9,0.9771957397460938,0.9549114846552128,0.9,1.0,0.9329468907931278,0.927049263086753,0.0,train_00043,0,0.8077338,0.19226623,0.708272327964861,0.708272327964861,0.2924597364568082,0.64105964,0.631192,0.6182772,0.7407986,0.5629575402635432,0.7210834553440703,0.8038067349926794,0.8023426061493412,0.4818081991215227,0.0,0.0,0.0,0.5924963396778916,0.0,0.0,0.0,0.650402635431918,0.0,0.0,0.0,0.6493777452415812,0.0,0.0,0.0
train_00007,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00007.jpg,0,0,0.995062291622162,0.0049376734532415,0.9901246428489684,7,train_00301,0.9032353,0.0,0.0625,train_00301,6.0,0.0625,phash,train_00301,0,False,0.81376076,0.8075384,0.6859443631039531,0.8674963396778916,0.2414348462664715,0.2414348462664715,0.0049376734532415,0.0037085584075745,0.2414348462664715,0.2414348462664715,0.0037085584075745,0.0049376734532415,0.9032353,0.8325714,0.81376076,0.7966626,train_00301,0.9032353,0,0.2898975109809663,0.3147877013177159,0.3404099560761347,0.3147877013177159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049376734532415,0.0049132928088185,0.0,1.0,0.0029479756852911,0.0,0.0,train_00301,0,0.9032353,0.09676468,0.270497803806735,0.270497803806735,0.7302342606149341,0.67973435,0.6646814,0.6481628,0.7583824,0.8726207906295754,0.9604685212298683,0.9838945827232797,0.9062957540263543,0.829904831625183,0.0,0.0,0.0,0.891398243045388,0.0,0.0,0.0,0.9077964860907759,0.0,0.0,0.0,0.8534773060029281,0.0,0.0,0.0
train_00008,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00008.jpg,1,1,0.3020300567150116,0.6979699730873108,0.3959399461746216,8,train_00543,0.7818748,0.0,0.0,train_00044,20.0,0.0,none,train_00543,1,False,0.7631269,0.805635,0.2159590043923865,0.8587115666178624,0.5269399707174232,0.5269399707174232,0.3020300269126892,0.0565712396262286,0.5269399707174232,0.5269399707174232,0.0565712396262286,0.3020300269126892,0.78187466,0.77061504,0.76312685,0.755311,train_00543,0.78187466,1,0.8345534407027818,0.7847730600292826,0.7452415812591509,0.7847730600292826,0.0,0.0,0.0,0.0,0.2,0.3,0.2,0.3020300567150116,0.2108079105569356,0.3,1.0,0.2464847463341613,0.2514803633826718,0.0,train_00543,1,0.78187466,0.21812534,0.8682284040995608,0.8682284040995608,0.13250366032210834,0.65335053,0.6313339,0.6230346,0.7575443,0.6734992679355783,0.7218155197657394,0.8557833089311859,0.904099560761347,0.5112005856515373,0.0,0.0,0.0,0.5450219619326501,0.0,0.0,0.0,0.6387994143484625,0.0,0.0,0.0,0.6726207906295754,0.0,0.0,0.0
train_00009,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00009.jpg,1,1,0.2410645186901092,0.7589355111122131,0.5178710222244263,9,train_01172,0.8996115,0.0,0.0,train_00066,18.0,0.0,none,train_01172,0,False,0.78237724,0.7251041,0.3579795021961933,0.2474377745241581,0.6862371888726208,0.6862371888726208,0.2410644888877868,0.0391702476374856,0.6862371888726208,0.6862371888726208,0.0391702476374856,0.2410644888877868,0.8996116,0.8322714,0.7823773,0.745043,train_01172,0.8996116,0,0.2928257686676427,0.6427525622254758,0.8191800878477306,0.6427525622254758,0.0,0.0,0.0,1.0,0.4,0.4,0.2,0.2410645186901092,0.1829524237030976,0.4,1.0,0.2697714542218586,0.2705198134725792,0.0,train_01172,0,0.8996116,0.10038841,0.2745241581259151,0.2745241581259151,0.726207906295754,0.6424994,0.58805805,0.57036555,0.71032465,0.5805270863836017,0.21156661786237188,0.18960468521229867,0.5248901903367497,0.6242313323572474,0.0,0.0,0.0,0.3659590043923865,0.0,0.0,0.0,0.35058565153733523,0.0,0.0,0.0,0.585285505124451,0.0,0.0,0.0
train_00010,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00010.jpg,0,1,0.4501979947090149,0.5498020648956299,0.0996041297912597,10,train_00136,0.77862394,0.0,0.0,train_00059,18.0,0.0,none,train_00136,1,False,0.7683288,0.81951547,0.246705710102489,0.9224011713030746,0.4830161054172767,0.4830161054172767,0.5498020648956299,0.0283113595977974,0.4830161054172767,0.4830161054172767,0.0283113595977974,0.5498020648956299,0.7786238,0.77333015,0.7683288,0.76206374,train_00136,0.7786238,1,0.8096632503660323,0.7540263543191801,0.6932650073206442,0.7540263543191801,0.0,0.0,0.0,1.0,0.4,0.7,0.8,0.5498020648956299,0.3022823105634984,0.7,1.0,0.461369386338099,0.4599974102040672,0.0,train_00136,1,0.7786238,0.22137618,0.8821376281112738,0.8821376281112738,0.11859443631039532,0.6366183,0.6239739,0.6124546,0.75153804,0.5036603221083455,0.6383601756954612,0.7379209370424598,0.8704245973645681,0.38814055636896044,0.0,0.0,0.0,0.4824304538799414,0.0,0.0,0.0,0.5521229868228403,0.0,0.0,0.0,0.6448755490483162,0.0,0.0,0.0
train_00011,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00011.jpg,0,0,1.0,8.266272999435387e-09,1.0,11,train_00798,0.99432856,0.0,0.5625,train_00798,2.0,0.5625,phash,train_00798,0,False,0.8668107,0.77236617,0.9963396778916545,0.5966325036603221,0.1635431918008785,0.1635431918008785,8.266272999435387e-09,6.914380328810302e-09,0.1635431918008785,0.1635431918008785,6.914380328810302e-09,8.266272999435387e-09,0.9943288,0.8837689,0.8668108,0.85298574,train_00798,0.9943288,0,0.0234260614934114,0.0043923865300146,0.0043923865300146,0.0043923865300146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.266272999435387e-09,8.266272999435387e-09,0.0,1.0,4.959763799661232e-09,0.0,0.0,train_00798,0,0.9943288,0.005671203,0.033308931185944364,0.033308931185944364,0.9674231332357247,0.5969162,0.5933748,0.5852555,0.667484,0.13323572474377746,0.2664714494875549,0.34260614934114203,0.191800878477306,0.3834919472913616,0.0,0.0,0.0,0.47675695461200585,0.0,0.0,0.0,0.5300512445095168,0.0,0.0,0.0,0.4244875549048316,0.0,0.0,0.0
train_00012,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18B/train/train_00012.jpg,1,0,0.5702575445175171,0.4297424256801605,0.1405151486396789,12,train_00123,0.6840776,0.0,0.0,train_01163,16.0,0.0,none,train_00123,0,False,0.6720007,0.7330342,0.0051244509516837,0.2957540263543192,0.8786237188872621,0.8786237188872621,0.5702575743198395,0.009725860506808,0.8786237188872621,0.8786237188872621,0.009725860506808,0.5702575743198395,0.68407774,0.6769623,0.67200077,0.6645199,train_00123,0.68407774,0,0.9970717423133236,0.9956076134699854,0.9875549048316252,0.9956076134699854,1.0,1.0,1.0,1.0,0.6,0.4,0.35,0.5702575445175171,0.3251936840741471,0.4,0.0,0.0,0.0,1.0,train_00123,0,0.68407774,0.31592226,0.9992679355783309,0.9992679355783309,0.0014641288433382138,1.0000001,0.73998564,0.65982956,0.7549434,0.9989019033674963,0.9978038067349927,0.9956076134699854,0.8894582723279648,0.6996705710102488,0.4752470717423134,1.0,0.4752470717423134,0.6989019033674962,0.4758235724743778,1.0,0.4758235724743778,0.6973645680819912,0.47697657393850657,1.0,0.47697657393850657,0.6230600292825768,0.5327049780380675,1.0,0.5327049780380675
