left,right,n,overlap_count,overlap_ratio,overlap_ids
ood_score_original,global_nn1_ood,50,10,0.2,"train_00020,train_00204,train_00314,train_00423,train_00459,train_00726,train_00762,train_00910,train_01283,train_01307"
ood_score_original,ood_score_v3_max,50,25,0.5,"train_00003,train_00020,train_00051,train_00058,train_00070,train_00204,train_00248,train_00314,train_00319,train_00434,train_00478,train_00487,train_00572,train_00726,train_00742,train_00762,train_00774,train_00910,train_00973,train_00990,train_01046,train_01113,train_01220,train_01242,train_01283"
ood_score_original,ood_score_v3_top3,50,30,0.6,"train_00003,train_00020,train_00051,train_00058,train_00070,train_00204,train_00248,train_00314,train_00319,train_00423,train_00434,train_00478,train_00487,train_00562,train_00572,train_00587,train_00726,train_00742,train_00762,train_00774,train_00910,train_00973,train_00978,train_00990,train_01046,train_01113,train_01220,train_01242,train_01283,train_01307"
ood_score_original,ood_score_v3_top5,50,35,0.7,"train_00003,train_00020,train_00051,train_00058,train_00070,train_00149,train_00179,train_00204,train_00226,train_00231,train_00248,train_00314,train_00319,train_00423,train_00434,train_00459,train_00478,train_00562,train_00572,train_00587,train_00726,train_00742,train_00762,train_00774,train_00777,train_00910,train_00973,train_00990,train_01046,train_01113,train_01138,train_01220,train_01242,train_01283,train_01307"
ood_score_original,ood_score_v3_proto,50,36,0.72,"train_00012,train_00020,train_00051,train_00058,train_00070,train_00149,train_00179,train_00204,train_00231,train_00248,train_00314,train_00319,train_00325,train_00365,train_00423,train_00434,train_00459,train_00478,train_00562,train_00572,train_00587,train_00726,train_00742,train_00762,train_00777,train_00910,train_00931,train_00973,train_00990,train_01113,train_01138,train_01220,train_01242,train_01245,train_01283,train_01307"
ood_score_v3_max,ood_score_original,50,25,0.5,"train_00003,train_00020,train_00051,train_00058,train_00070,train_00204,train_00248,train_00314,train_00319,train_00434,train_00478,train_00487,train_00572,train_00726,train_00742,train_00762,train_00774,train_00910,train_00973,train_00990,train_01046,train_01113,train_01220,train_01242,train_01283"
ood_score_v3_max,global_nn1_ood,50,13,0.26,"train_00004,train_00020,train_00076,train_00204,train_00314,train_00340,train_00726,train_00762,train_00772,train_00910,train_01064,train_01208,train_01283"
ood_score_v3_max,ood_score_v3_top3,50,44,0.88,"train_00003,train_00020,train_00051,train_00058,train_00070,train_00076,train_00086,train_00127,train_00165,train_00204,train_00212,train_00248,train_00314,train_00319,train_00340,train_00434,train_00478,train_00483,train_00487,train_00572,train_00726,train_00742,train_00762,train_00763,train_00774,train_00794,train_00859,train_00905,train_00910,train_00967,train_00973,train_00990,train_01046,train_01064,train_01113,train_01166,train_01173,train_01184,train_01201,train_01205,train_01208,train_01220,train_01242,train_01283"
ood_score_v3_max,ood_score_v3_top5,50,37,0.74,"train_00003,train_00020,train_00051,train_00058,train_00070,train_00076,train_00086,train_00127,train_00165,train_00204,train_00248,train_00314,train_00319,train_00340,train_00434,train_00478,train_00572,train_00726,train_00742,train_00762,train_00763,train_00774,train_00794,train_00859,train_00910,train_00967,train_00973,train_00990,train_01046,train_01113,train_01166,train_01201,train_01205,train_01208,train_01220,train_01242,train_01283"
ood_score_v3_max,ood_score_v3_proto,50,32,0.64,"train_00020,train_00051,train_00058,train_00070,train_00076,train_00127,train_00204,train_00248,train_00314,train_00319,train_00340,train_00434,train_00478,train_00572,train_00726,train_00742,train_00762,train_00763,train_00794,train_00910,train_00967,train_00973,train_00990,train_01113,train_01166,train_01173,train_01201,train_01205,train_01208,train_01220,train_01242,train_01283"
