id,path,label,fold,oof_dusty_prob,oof_pred,mislabel_score_oof,dup_score,mislabel_score_v2_add,rank_oof,rank_v2_add,is_oof_top100,is_v2_add_top100
train_00000,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00000.jpg,0,1,0.0007548321154899895,0,0.0007548321154899895,0.0,0.0088916474053968,1119,453,False,False
train_00001,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00001.jpg,1,0,0.617660403251648,1,0.38233959674835205,0.0,0.0004627346862644,424,837,False,False
train_00002,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00002.jpg,0,3,0.5020710229873657,1,0.5020710229873657,0.0,0.0823783624712009,381,165,False,False
train_00003,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00003.jpg,1,4,0.9241982102394104,1,0.0758017897605896,0.0,0.0,622,1334,False,False
train_00004,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00004.jpg,1,3,0.11901040375232697,0,0.880989596247673,0.0,0.3262852622245317,234,70,False,True
train_00005,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00005.jpg,0,1,0.07191898673772812,0,0.07191898673772812,0.0,8.449468475747675e-06,632,1190,False,False
train_00006,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00006.jpg,1,1,0.8857795000076294,1,0.1142204999923706,0.0,0.9329468907931278,573,23,False,True
train_00007,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00007.jpg,0,1,1.7468390069552697e-05,0,1.7468390069552697e-05,0.0625,0.0029479756852911,1291,566,False,False
train_00008,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00008.jpg,1,1,0.15886670351028442,0,0.8411332964897156,0.0,0.2464847463341613,260,82,False,True
train_00009,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00009.jpg,1,4,0.08131395280361176,0,0.9186860471963882,0.0,0.2697714542218586,207,79,False,True
train_00010,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00010.jpg,0,3,0.9971762895584106,1,0.9971762895584106,0.0,0.461369386338099,67,55,True,True
train_00011,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00011.jpg,0,4,0.0014764454681426287,0,0.0014764454681426287,0.5625,4.959763799661232e-09,1058,1319,False,False
train_00012,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00012.jpg,1,2,0.028209518641233444,0,0.9717904813587666,0.0,0.0,145,1335,False,False
train_00013,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00013.jpg,0,1,0.8959746956825256,1,0.8959746956825256,0.0,9.682464370812052e-05,228,1028,False,False
train_00014,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00014.jpg,0,1,0.023107586428523064,0,0.023107586428523064,0.0,2.47990101057767e-08,769,1314,False,False
train_00015,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00015.jpg,1,1,0.9940992593765259,1,0.005900740623474121,0.0,0.0008435955672742,925,760,False,False
train_00016,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00016.jpg,0,2,0.0071821436285972595,0,0.0071821436285972595,0.0,9.329438992130544e-05,893,1033,False,False
train_00017,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00017.jpg,0,2,0.9250534176826477,1,0.9250534176826477,0.0,0.0803997386993402,199,170,False,False
train_00018,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00018.jpg,1,3,0.9058780074119568,1,0.09412199258804321,0.0,0.0426189829815517,601,254,False,False
train_00019,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00019.jpg,0,0,0.22070686519145966,0,0.22070686519145966,0.0,1.5227122356093975e-06,500,1250,False,False
train_00020,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00020.jpg,1,2,0.006682252045720816,0,0.9933177479542792,0.0,0.0,94,1336,True,False
train_00021,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00021.jpg,0,1,0.2164856195449829,0,0.2164856195449829,0.0,0.0401611968096114,502,311,False,False
train_00022,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00022.jpg,0,2,0.08823315799236298,0,0.08823315799236298,0.0,0.0008500190475462,611,759,False,False
train_00023,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00023.jpg,0,4,0.7383204698562622,1,0.7383204698562622,0.0,0.9269036913441938,289,25,False,True
train_00024,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00024.jpg,1,3,0.03775503858923912,0,0.9622449614107609,0.0,0.0002158095961299,154,945,False,False
train_00025,/home/thkim0/github/AIFFEL_quest_rs/MainQuest/Quest02/data/RS18A/train/train_00025.jpg,1,0,3.384620868018828e-05,0,0.9999661537913198,0.0,0.0020122321474436,11,617,True,False
